Periodo;Siniestros_XGB;IC_inferior_90;IC_superior_90
2025-01;16552200192,0;2901915339,8526897;30202485044,14731
2025-02;17682405376,0;4032120523,8526897;31332690228,14731
2025-03;19209078784,0;5558793931,85269;32859363636,14731
2025-04;18429847552,0;4779562699,85269;32080132404,14731
2025-05;18564849664,0;4914564811,85269;32215134516,14731
2025-06;19462264832,0;5811979979,85269;33112549684,14731
2025-07;21847881728,0;8197596875,85269;35498166580,14731
2025-08;23140192256,0;9489907403,85269;36790477108,14731
2025-09;21253543936,0;7603259083,85269;34903828788,14731
2025-10;21879506944,0;8229222091,85269;35529791796,14731
2025-11;21522284544,0;7871999691,85269;35172569396,14731
2025-12;21570377728,0;7920092875,85269;35220662580,14731
